timestamp,finger_material,padding,goal_current_raw,goal_current_ma,repeat,slip_detected,detection_time_s,baseline_current_raw,baseline_current_ma,slip_current_raw,slip_current_ma,drop_raw,drop_percent,position_at_slip_ticks,position_shift_ticks,watch_duration_s,samples
2026-08-08T11:37:10,PETG,No padding,100,269.0,1,1,0.4321,99.0,266.31,9,24.21,90.0,90.9,4294967254,4294966581,0.464,30
2026-08-08T11:38:33,PETG,No padding,100,269.0,2,1,4.5282,99.0,266.31,18,48.42,81.0,81.8,4294967253,4294966573,4.56,285
2026-08-08T11:39:02,PETG,No padding,100,269.0,3,1,1.984,99.0,266.31,49,131.81,50.0,50.5,4294967254,4294966569,2.016,126
2026-08-08T11:39:33,PETG,No padding,105,282.45,1,1,0.6238,104.0,279.76,66,177.54,38.0,36.5,4294967254,4294966583,0.655,42
2026-08-08T11:40:10,PETG,No padding,105,282.45,2,1,1.8396,104.0,279.76,38,102.22,66.0,63.5,4294967256,4294966587,1.872,117
2026-08-08T11:40:18,PETG,No padding,105,282.45,3,1,1.1997,104.0,279.76,32,86.08,72.0,69.2,4294967255,4294966591,1.232,77
2026-08-08T11:40:25,PETG,No padding,110,295.9,1,1,1.3441,109.0,293.21,31,83.39,78.0,71.6,4294967255,4294966572,1.376,87
2026-08-08T11:40:34,PETG,No padding,110,295.9,2,1,1.3119,110.0,295.9,64,172.16,46.0,41.8,4294967253,4294966614,1.344,85
2026-08-08T11:40:44,PETG,No padding,110,295.9,3,1,3.3756,109.0,293.21,7,18.83,102.0,93.6,4294967255,4294966611,3.408,211
2026-08-08T11:40:54,PETG,No padding,115,309.35,1,1,1.4739,114.0,306.66,69,185.61,45.0,39.5,4294967254,4294966602,1.504,94
2026-08-08T11:41:02,PETG,No padding,115,309.35,2,1,1.6961,114.0,306.66,38,102.22,76.0,66.7,4294967254,4294966616,1.729,109
2026-08-08T11:41:11,PETG,No padding,115,309.35,3,1,1.472,115.0,309.35,31,83.39,84.0,73.0,4294967255,4294966612,1.504,95
2026-08-08T11:41:20,PETG,No padding,120,322.8,1,1,1.2665,119.0,320.11,40,107.6,79.0,66.4,4294967256,4294966585,1.296,82
2026-08-08T11:41:28,PETG,No padding,120,322.8,2,1,1.5037,119.0,320.11,18,48.42,101.0,84.9,4294967253,4294966595,1.536,97
2026-08-08T11:41:36,PETG,No padding,120,322.8,3,1,1.3279,120.0,322.8,57,153.33,63.0,52.5,4294967256,4294966604,1.36,86
2026-08-08T11:50:14,PETG,Rubber band,100,269.0,1,1,2.2408,99.0,266.31,47,126.43,52.0,52.5,4294967257,4294966616,2.272,143
2026-08-08T11:51:02,PETG,Rubber band,100,269.0,2,1,5.9839,99.0,266.31,44,118.36,55.0,55.6,4294967254,4294966571,6.016,375
2026-08-08T11:55:00,PETG,Rubber band,100,269.0,3,1,1.2312,99.0,266.31,41,110.29,58.0,58.6,4294967264,4294966599,1.263,80
2026-08-08T11:55:07,PETG,Rubber band,105,282.45,1,1,1.1682,104.0,279.76,32,86.08,72.0,69.2,4294967264,4294966605,1.2,75
2026-08-08T11:55:13,PETG,Rubber band,105,282.45,2,1,1.36,104.0,279.76,55,147.95,49.0,47.1,4294967264,4294966588,1.392,88
2026-08-08T11:55:22,PETG,Rubber band,105,282.45,3,1,1.0072,104.0,279.76,60,161.4,44.0,42.3,4294967264,4294966636,1.04,66
2026-08-08T11:55:31,PETG,Rubber band,110,295.9,1,1,1.9673,109.0,293.21,54,145.26,55.0,50.5,4294967264,4294966618,1.999,126
2026-08-08T11:55:39,PETG,Rubber band,110,295.9,2,1,1.5519,109.0,293.21,29,78.01,80.0,73.4,4294967263,4294966590,1.584,100
2026-08-08T11:55:49,PETG,Rubber band,110,295.9,3,1,1.8876,109.0,293.21,26,69.94,83.0,76.1,4294967266,4294966591,1.919,121
2026-08-08T11:55:57,PETG,Rubber band,115,309.35,1,1,1.6641,115.0,309.35,73,196.37,42.0,36.5,4294967282,4294966608,1.696,107
2026-08-08T11:56:05,PETG,Rubber band,115,309.35,2,1,1.8394,115.0,309.35,74,199.06,41.0,35.7,0,-673,1.872,118
2026-08-08T11:56:13,PETG,Rubber band,115,309.35,3,1,1.7919,114.0,306.66,73,196.37,41.0,36.0,4294967277,4294966619,1.824,115
2026-08-08T11:56:21,PETG,Rubber band,120,322.8,1,1,1.2476,120.0,322.8,76,204.44,44.0,36.7,116,-553,1.28,81
2026-08-08T11:56:41,PETG,Rubber band,120,322.8,2,1,0.4808,120.0,322.8,75,201.75,45.0,37.5,114,-520,0.512,33
2026-08-08T11:56:49,PETG,Rubber band,120,322.8,3,1,2.617,119.0,320.11,76,204.44,43.0,36.1,118,-537,2.656,166
2026-08-08T12:04:59,PLA,No padding,100,269.0,1,1,1.2638,100.0,269.0,2,5.38,98.0,98.0,4294967133,4294966573,1.296,82
2026-08-08T12:05:06,PLA,No padding,100,269.0,2,1,0.8317,99.5,267.65,34,91.46,65.5,65.8,4294967136,4294966549,0.863,55
2026-08-08T12:05:14,PLA,No padding,100,269.0,3,1,1.1682,99.0,266.31,17,45.73,82.0,82.8,4294967134,4294966552,1.2,76
2026-08-08T12:05:20,PLA,No padding,105,282.45,1,1,1.0392,104.5,281.11,61,164.09,43.5,41.6,4294967135,4294966540,1.071,67
2026-08-08T12:05:28,PLA,No padding,105,282.45,2,1,1.1524,104.0,279.76,20,53.8,84.0,80.8,4294967134,4294966540,1.185,75
2026-08-08T12:05:34,PLA,No padding,105,282.45,3,1,0.9606,104.0,279.76,26,69.94,78.0,75.0,4294967135,4294966542,0.992,63
2026-08-08T12:05:41,PLA,No padding,110,295.9,1,1,0.9122,109.5,294.56,69,185.61,40.5,37.0,3,-592,0.944,59
2026-08-08T12:05:48,PLA,No padding,110,295.9,2,1,1.1362,109.0,293.21,69,185.61,40.0,36.7,4294967269,4294966686,1.168,74
2026-08-08T12:05:55,PLA,No padding,110,295.9,3,1,1.1037,110.0,295.9,70,188.3,40.0,36.4,4294967294,4294966732,1.136,72
2026-08-08T12:06:02,PLA,No padding,115,309.35,1,1,0.832,114.0,306.66,74,199.06,40.0,35.1,68,-492,0.864,54
2026-08-08T12:06:10,PLA,No padding,115,309.35,2,1,0.8642,114.0,306.66,70,188.3,44.0,38.6,4294967294,4294966749,0.896,57
2026-08-08T12:06:18,PLA,No padding,115,309.35,3,1,1.5373,114.0,306.66,73,196.37,41.0,36.0,47,-504,1.568,99
2026-08-08T12:06:26,PLA,No padding,120,322.8,1,1,1.184,119.0,320.11,72,193.68,47.0,39.5,83,-450,1.216,77
2026-08-08T12:06:33,PLA,No padding,120,322.8,2,1,1.696,119.5,321.45,70,188.3,49.5,41.4,72,-480,1.728,109
2026-08-08T12:06:42,PLA,No padding,120,322.8,3,1,1.7436,120.0,322.8,73,196.37,47.0,39.2,58,-485,1.776,112
2026-08-08T13:19:04,PLA,Rubber band,100,269.0,1,1,1.3596,99.0,266.31,18,48.42,81.0,81.8,4294967132,4294966567,1.392,88
2026-08-08T13:19:10,PLA,Rubber band,100,269.0,2,1,1.391,99.5,267.65,2,5.38,97.5,98.0,4294967132,4294966555,1.423,90
2026-08-08T13:19:17,PLA,Rubber band,100,269.0,3,1,1.1363,99.0,266.31,42,112.98,57.0,57.6,4294967132,4294966550,1.168,74
2026-08-08T13:19:24,PLA,Rubber band,105,282.45,1,1,1.5192,104.0,279.76,66,177.54,38.0,36.5,4294967132,4294966550,1.551,98
2026-08-08T13:19:30,PLA,Rubber band,105,282.45,2,1,0.2239,104.0,279.76,35,94.15,69.0,66.3,4294967134,4294966531,0.256,17
2026-08-08T13:19:38,PLA,Rubber band,105,282.45,3,1,1.4402,104.0,279.76,5,13.45,99.0,95.2,4294967132,4294966526,1.472,93
2026-08-08T13:19:44,PLA,Rubber band,110,295.9,1,1,1.108,109.0,293.21,25,67.25,84.0,77.1,4294967132,4294966529,1.136,72
